x,y
88.99724793445908,54.0065887916121
55.657961889294555,62.27719525114186
56.0844759646597,51.74143291336699
85.56359784869417,68.39567929637985
71.05568113260661,40.559770977577664
85.52210325930675,68.55145462549112
89.01304414732336,54.103147190962865
58.94053988563667,68.47135121728084
60.04126604621068,45.62032259587711
89.26886460430754,58.339052450652545
59.763135097642824,69.49116860516574
72.05988442535485,74.87754612134756
75.7407545400937,40.84946101414495
66.0963866271534,73.68434251280841
88.42069857011978,63.17448070621258
56.28193527843428,51.43447448231533
56.8474511533163,65.40380501664323
74.62456749882101,40.7433899577462
55.11289497395377,56.182526640516166
78.87501182760043,41.88041113856934
86.95658238592233,66.36986579902961
79.72000241339441,42.209695861429026
79.16123243488342,42.01898595653262
56.120756439182436,63.453248810568965
81.4380866388891,72.11958942031222
55.11542150332674,56.88981163955594
78.42232927589826,41.666601281755206
55.93760902251083,52.18949785733283
70.0776393868129,74.71508739344117
89.03326208845908,54.75511014434398
82.40885579709766,52.84329735747002
73.56220518945167,52.794736469244285
70.4345935408365,51.52371469078432
86.76125507892664,50.782885678193786
65.05231218858485,46.46922961178248
79.23663564672364,53.4441702135017
91.5127054138037,45.568188454843586
68.12582744556804,25.879187077436033
62.54576053190614,37.173937794085404
62.66917623901143,35.638576307422966
63.263083741511046,33.26377154897286
78.08966498455071,53.39119746240345
77.29195233784166,53.3568967886285
90.41239916485472,47.26340500532841
90.91701119799144,46.62650379541072
68.38870410946336,25.75198030550238
90.23950731642745,28.1967038762534
63.803310434235875,31.80240517812389
93.41553124360763,35.97020319070839
87.15175684011382,25.288678787553778
88.27403376553879,49.65208083198381
83.67108945412203,23.347115987266413
68.67382332433274,25.53953467182884
70.37601114310658,51.390285504739666
92.59214577163122,32.31595333813403
63.02063760846082,33.80279925728601
62.552264117125866,38.526666127808994
85.36417019233784,51.55497297294268
89.85735764174146,27.814502346567025
85.57268788779812,51.46894569159218
71.14551790992385,31.998079525608627
70.56924469202865,33.274598706720184
71.17712495659427,33.90187976712945
71.17668022343497,33.87747841490948
71.06928866973311,33.79296653369267
71.0384180018151,33.81818887941581
71.62305998825347,34.023670313582315
71.64655424067367,33.984620656657256
72.49775058513525,32.683962452406625
70.85510449464712,33.73843543572892
70.67873708942062,32.503675369566416
71.79167748793442,33.957531229766516
70.5700112967573,33.14729164642711
71.90078443090232,33.93895945089348
70.63325279742416,32.6076079503591
71.76714597295855,33.968410203434125
71.45557061795832,33.99233767785512
70.52842852648178,33.3158709986996
71.91885805282958,31.916061928195198
72.54354920923753,32.60798508987615
70.49598181534861,33.08938242581194
72.41830685086552,33.56422124601433
72.27034616623746,33.623131419555115
71.8494526538448,31.892381565871915
72.47309925312291,32.50594158148235
72.52996562625079,32.60453950949617
71.55097368113135,34.00374914089626
71.1442338532802,31.947296721505055
70.9470577941466,33.79575131450851
72.5870440412076,33.24818267242546
