x,y,color
63.4592188274476,40.02664706923776,ro
33.133184029145596,32.3690615437435,go
58.142040616059255,52.88807986950074,go
52.504612474087224,56.30400433843279,go
51.552485892209845,56.61669820641579,go
62.94598481100917,45.00153330459471,bo
39.38285439171263,26.402342552940834,go
57.36664202349923,28.11777901381344,ko
30.77766727628649,39.94752667760976,go
44.28573644010792,24.70115718785836,go
63.01879562919562,37.11411971834216,go
33.92555810363645,31.117364801304227,go
58.71322168675527,29.32514205119234,ko
55.70474757121194,54.798372203520486,go
59.54703426607871,30.25269115788865,bo
46.17400110612442,57.18764069298433,go
59.65262592011857,30.381842802836747,bo
36.37053885952269,28.48752564136991,go
43.77345572032298,24.82732901049756,go
44.71851113010219,57.055078346246646,go
32.932794345963195,32.68399670613892,go
60.949652023968724,49.54443289027463,ko
62.287591711073276,34.73118703454663,go
60.15425877422816,50.718002905974785,co
58.076428999515976,28.679588441208807,ko
54.13882097357478,55.61340015397967,go
49.36018888863235,24.668947545545127,go
43.04084984242268,56.681494047894944,go
63.397079838047745,39.56032762776839,ro
32.51621371442188,48.17738861475732,go
63.89018052813336,40.06226095340098,ro
64.70010144131129,45.340118913607064,bo
70.67942502967254,42.72503041603624,ro
70.25207302033009,44.13324827680517,ro
70.60562437985475,43.16370406281741,ro
70.3492259997912,43.88533428672783,ro
68.57626084737106,38.896837247551815,mo
63.66128934320823,44.16150419506353,bo
65.96668637105768,38.662648616365836,ro
70.40328979230748,43.870168910314966,ro
63.58278253825405,44.05144327250987,bo
63.26544469378699,43.21338751357653,bo
68.60238291748398,45.69628271007687,bo
68.80320325195967,38.975939866696514,mo
64.25134247191886,44.88879356439278,bo
65.3290506340775,38.91689915658075,ro
63.583879778189825,43.97866393887196,bo
67.76033996694373,38.59958786211776,mo
63.21279970466205,41.68823220137201,go
63.18159712123568,42.04680412746666,go
63.96585692220454,39.97773914756332,ro
68.96404734686455,45.516218402443535,bo
64.6206481089233,45.25486838723283,bo
67.35062275302043,46.02522337813165,bo
70.73458897181925,42.42602140552486,ro
64.99163494842006,39.074679919728624,ro
70.7056307212445,42.29174337444983,ro
66.08359247793656,38.60492936034534,ro
70.71370493906105,42.65818625427124,ro
69.15507108271859,39.20502318925101,mo
81.49087987851281,15.181643658880098,ko
80.26014634517695,17.68767878474341,ko
80.79057020556414,0.14877796711203928,co
62.79431713841093,26.451363834081302,bo
62.31881967989688,-9.60657407778082,co
